Model,Accuracy,F1,Precision,Recall,ROC-AUC,CV Score
Random Forest (Tuned),0.88,0.9047619047619048,0.8260869565217391,1.0,0.9310485516115871,0.892
Logistic Regression,0.87,0.8907563025210085,0.8548387096774194,0.9298245614035088,0.9314565483476132,0.8560000000000001
